coding_rule,held_out_record,coordinate,shapley_closure_gain,coordinate_rank,formation_closed_records_after_deletion,mass_energy_interaction_after_deletion
strict,B01,mass,5.916667,1,2,6
strict,B01,energy,4.916667,2,2,6
strict,B01,time,1.916667,3,2,6
strict,B01,endpoint,0.25,4,2,6
strict,B02,mass,5.416667,2,2,7
strict,B02,energy,5.416667,1,2,7
strict,B02,time,1.916667,3,2,7
strict,B02,endpoint,0.25,4,2,7
strict,B03,mass,5.916667,1,2,6
strict,B03,energy,4.916667,2,2,6
strict,B03,time,1.916667,3,2,6
strict,B03,endpoint,0.25,4,2,6
strict,B04,mass,5.916667,1,2,6
strict,B04,energy,4.916667,2,2,6
strict,B04,time,1.916667,3,2,6
strict,B04,endpoint,0.25,4,2,6
strict,B05,mass,6.083333,1,2,7
strict,B05,energy,5.083333,2,2,7
strict,B05,time,1.583333,3,2,7
strict,B05,endpoint,0.25,4,2,7
strict,B06,mass,6.166667,1,2,7
strict,B06,energy,5.166667,2,2,7
strict,B06,time,1.666667,3,2,7
strict,B06,endpoint,0.0,4,2,7
strict,B07,mass,5.916667,1,2,6
strict,B07,energy,4.916667,2,2,6
strict,B07,time,1.916667,3,2,6
strict,B07,endpoint,0.25,4,2,6
strict,B08,mass,6.416667,1,1,7
strict,B08,energy,5.416667,2,1,7
strict,B08,time,1.916667,3,1,7
strict,B08,endpoint,0.25,4,1,7
strict,B09,mass,6.416667,1,1,7
strict,B09,energy,5.416667,2,1,7
strict,B09,time,1.916667,3,1,7
strict,B09,endpoint,0.25,4,1,7
strict,B10,mass,6.083333,1,2,7
strict,B10,energy,5.083333,2,2,7
strict,B10,time,1.583333,3,2,7
strict,B10,endpoint,0.25,4,2,7
strict,B11,mass,5.916667,1,2,6
strict,B11,energy,4.916667,2,2,6
strict,B11,time,1.916667,3,2,6
strict,B11,endpoint,0.25,4,2,6
strict,B12,mass,6.083333,1,2,7
strict,B12,energy,5.083333,2,2,7
strict,B12,time,1.583333,3,2,7
strict,B12,endpoint,0.25,4,2,7
strict,B13,mass,5.916667,1,2,6
strict,B13,energy,4.916667,2,2,6
strict,B13,time,1.916667,3,2,6
strict,B13,endpoint,0.25,4,2,6
strict,B14,mass,6.083333,1,2,7
strict,B14,energy,5.083333,2,2,7
strict,B14,time,1.583333,3,2,7
strict,B14,endpoint,0.25,4,2,7
strict,B15,mass,6.083333,1,2,7
strict,B15,energy,5.083333,2,2,7
strict,B15,time,1.583333,3,2,7
strict,B15,endpoint,0.25,4,2,7
strict,B16,mass,5.916667,1,2,6
strict,B16,energy,4.916667,2,2,6
strict,B16,time,1.916667,3,2,6
strict,B16,endpoint,0.25,4,2,6
permissive,B01,mass,6.416667,1,2,3
permissive,B01,energy,4.416667,2,2,3
permissive,B01,time,1.916667,3,2,3
permissive,B01,endpoint,0.25,4,2,3
permissive,B02,mass,5.916667,1,2,4
permissive,B02,energy,4.916667,2,2,4
permissive,B02,time,1.916667,3,2,4
permissive,B02,endpoint,0.25,4,2,4
permissive,B03,mass,6.416667,1,2,3
permissive,B03,energy,4.416667,2,2,3
permissive,B03,time,1.916667,3,2,3
permissive,B03,endpoint,0.25,4,2,3
permissive,B04,mass,5.916667,1,2,4
permissive,B04,energy,4.916667,2,2,4
permissive,B04,time,1.916667,3,2,4
permissive,B04,endpoint,0.25,4,2,4
permissive,B05,mass,6.916667,1,2,4
permissive,B05,energy,4.416667,2,2,4
permissive,B05,time,1.416667,3,2,4
permissive,B05,endpoint,0.25,4,2,4
permissive,B06,mass,6.666667,1,2,4
permissive,B06,energy,4.666667,2,2,4
permissive,B06,time,1.666667,3,2,4
permissive,B06,endpoint,0.0,4,2,4
permissive,B07,mass,6.916667,1,2,4
permissive,B07,energy,3.916667,2,2,4
permissive,B07,time,1.916667,3,2,4
permissive,B07,endpoint,0.25,4,2,4
permissive,B08,mass,6.916667,1,1,4
permissive,B08,energy,4.916667,2,1,4
permissive,B08,time,1.916667,3,1,4
permissive,B08,endpoint,0.25,4,1,4
permissive,B09,mass,6.916667,1,1,4
permissive,B09,energy,4.916667,2,1,4
permissive,B09,time,1.916667,3,1,4
permissive,B09,endpoint,0.25,4,1,4
permissive,B10,mass,6.583333,1,2,4
permissive,B10,energy,4.583333,2,2,4
permissive,B10,time,1.583333,3,2,4
permissive,B10,endpoint,0.25,4,2,4
permissive,B11,mass,5.916667,1,2,4
permissive,B11,energy,4.916667,2,2,4
permissive,B11,time,1.916667,3,2,4
permissive,B11,endpoint,0.25,4,2,4
permissive,B12,mass,6.583333,1,2,4
permissive,B12,energy,4.583333,2,2,4
permissive,B12,time,1.583333,3,2,4
permissive,B12,endpoint,0.25,4,2,4
permissive,B13,mass,5.916667,1,2,4
permissive,B13,energy,4.916667,2,2,4
permissive,B13,time,1.916667,3,2,4
permissive,B13,endpoint,0.25,4,2,4
permissive,B14,mass,6.416667,1,2,3
permissive,B14,energy,4.416667,2,2,3
permissive,B14,time,1.916667,3,2,3
permissive,B14,endpoint,0.25,4,2,3
permissive,B15,mass,6.916667,1,2,4
permissive,B15,energy,4.416667,2,2,4
permissive,B15,time,1.416667,3,2,4
permissive,B15,endpoint,0.25,4,2,4
permissive,B16,mass,6.416667,1,2,3
permissive,B16,energy,4.416667,2,2,3
permissive,B16,time,1.916667,3,2,3
permissive,B16,endpoint,0.25,4,2,3
