simulant,nominal_magnetron_input_setting_W,source_reported_nominal_input_kJ,source_reported_heating_time_s,source_reported_starting_mass_g,source_reported_sintered_or_molten_mass_g,source_reported_sintered_or_molten_yield_pct,nominal_input_MJ_per_source_defined_formed_kg,one_gram_reporting_resolution_lower_MJ_per_kg,one_gram_reporting_resolution_upper_MJ_per_kg,selection_boundary,source_plane,endpoint_boundary
JSC-1A,1000,900,900,50,50,100,18.0,17.822,18.182,Source-reported setting/material case; no replicate mean or distribution is inferred.,Nominal microwave input power multiplied by source-reported exposure time; absorbed and wall-plug energy unavailable.,Source-defined yield: mass of the sintered/molten part out of the original 50 g.
JSC-1A,600,900,1500,50,45,90,20.0,19.78,20.225,Source-reported setting/material case; no replicate mean or distribution is inferred.,Nominal microwave input power multiplied by source-reported exposure time; absorbed and wall-plug energy unavailable.,Source-defined yield: mass of the sintered/molten part out of the original 50 g.
JSC-1A,250,900,3600,50,47,94,19.149,18.947,19.355,Source-reported setting/material case; no replicate mean or distribution is inferred.,Nominal microwave input power multiplied by source-reported exposure time; absorbed and wall-plug energy unavailable.,Source-defined yield: mass of the sintered/molten part out of the original 50 g.
OPRH3N,1000,3600,3600,50,49,98,73.469,72.727,74.227,Source-reported setting/material case; no replicate mean or distribution is inferred.,Nominal microwave input power multiplied by source-reported exposure time; absorbed and wall-plug energy unavailable.,Source-defined yield: mass of the sintered/molten part out of the original 50 g.
