record_id,route_family,year,title,doi,container_title,metadata_status,quantitative_status
S1_018,Binder composite,2023,StarCrete: A starch-based biocomposite for off-world construction,10.1515/eng-2022-0390,Open Engineering,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_013,Binder composite,2024,Rapid formation of high-performance lunar regolith composite via combined mold pressing and thermocuring processing with low content of resin-based additives,10.1016/j.conbuildmat.2024.139132,Construction and Building Materials,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_016,Binder composite,2024,Silicate-lunar regolith composite: A vacuum self-hardened and comprehensively durable extraterrestrial construction material,10.1016/j.conbuildmat.2024.138517,Construction and Building Materials,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_105,Binder composite,2025,Additive Manufacturing of Lunar Regolith via Resin-Based Binder and Material Extrusion Method for High-Performance In-Situ Manufacturing on the Moon,10.1016/j.amf.2025.200233,Additive Manufacturing Frontiers,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_008,Binder composite,2025,Development of regolith-resin-composite (RRC) material for lunar construction,10.1016/j.actaastro.2024.10.064,Acta Astronautica,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_021,Cold sintering,2025,Cold sintering as a promising in-situ lunar regolith resource utilization approach: Parameter optimization for geopolymer products,10.1016/j.actaastro.2025.05.011,Acta Astronautica,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_022,Cold sintering,2025,"Lunar regolith simulant-based geopolymer products prepared by the cold-sintering process: Evolution of pore water distribution, reaction products, microstructure and performance",10.1016/j.conbuildmat.2025.141355,Construction and Building Materials,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_046,Geopolymer,2017,Preparation of lunar regolith based geopolymer cement under heat and vacuum,10.1016/j.asr.2017.01.024,Advances in Space Research,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_045,Geopolymer,2021,Preparation and evaluation of geopolymer based on BH-2 lunar regolith simulant under lunar surface temperature and vacuum condition,10.1016/j.actaastro.2021.08.039,Acta Astronautica,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_044,Geopolymer,2022,Preparation of geopolymer based on lunar regolith simulant at in-situ lunar temperature and its durability under lunar high and cryogenic temperature,10.1016/j.conbuildmat.2021.126033,Construction and Building Materials,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_037,Geopolymer,2024,Fiber-reinforced lunar geopolymers synthesized using lunar regolith simulants,10.1016/j.actaastro.2023.11.013,Acta Astronautica,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_038,Geopolymer,2024,Innovative development of geopolymer-based lunar high strength concrete for sustainable extra-terrestrial construction using large-scale regolith simulants,10.1016/j.conbuildmat.2024.138707,Construction and Building Materials,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_040,Geopolymer,2024,Preparation and evaluation of GCD-1 lunar regolith simulant based geopolymer activated by solid sodium silicate,10.1016/j.cscm.2024.e03273,Case Studies in Construction Materials,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_041,Geopolymer,2024,Preparation of geopolymer for in-situ pavement construction on the moon utilizing minimal additives and human urine in lunar regolith simulant,10.3389/fmats.2024.1413432,Frontiers in Materials,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_042,Geopolymer,2024,Synthesizing lunar regolith-geopolymer emulating lunar positive temperature regime,10.1016/j.pss.2024.105890,Planetary and Space Science,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_154,Geopolymer,2025,"Coupling thermodynamic modelling with experimental study to reveal the evolutionary relationship of pore solutions, products, and compressive strength for lunar regolith simulant geopolymers",10.1016/j.compositesb.2024.111949,Composites Part B: Engineering,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_009,Geopolymer,2025,Dynamic mechanical properties of lunar regolith based geopolymer: Coupled effects of composition and temperature,10.1016/j.cscm.2025.e05417,Case Studies in Construction Materials,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_010,Geopolymer,2025,Exploration of in-situ utilization of extraterrestrial resources: Preparation of Chang’E-5 lunar regolith simulant geopolymers modified by Al2O3 and FeTiO3 under vacuum environment,10.1016/j.conbuildmat.2025.143672,Construction and Building Materials,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_033,Geopolymer,2025,"Impacts of thermal activation on lunar regolith simulant-based precursor and resulting geopolymer: Composition, structure, solubility, and reactivity",10.1016/j.cemconcomp.2024.105840,Cement and Concrete Composites,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_002,Geopolymer,2026,Facing compositional heterogeneity and thermal cycling challenges in lunar regolith based geopolymer for sustainable extraterrestrial construction,10.1016/j.actaastro.2025.09.048,Acta Astronautica,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_073,Laser,2018,Selective Laser Melting for processing of regolith in support of a lunar base,10.2351/1.5018576,Journal of Laser Applications,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_117,Laser,2020,Determining the feasible conditions for processing lunar regolith simulant via laser powder bed fusion,10.1016/j.addma.2019.101029,Additive Manufacturing,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_070,Laser,2022,Direct laser sintering for lunar dust control: An experimental study of the effect of simulant mineralogy and process parameters on product strength and scalability,10.1016/j.conbuildmat.2022.129191,Construction and Building Materials,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_071,Laser,2022,Robotic 3D printed lunar bionic architecture based on lunar regolith selective laser sintering technology,10.1007/s44223-022-00014-9,Architectural Intelligence,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_068,Laser,2024,A Study of the Properties of Samples from a Lunar Regolith Simulant Produced by Selective Laser Melting,10.1134/s0010952524600793,Cosmic Research,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_067,Laser,2025,Selective laser melting of partially amorphous regolith analog for ISRU lunar applications,10.1016/j.actaastro.2024.10.024,Acta Astronautica,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_104,Microwave,2005,"Microwave Sintering of Lunar Soil: Properties, Theory, and Practice",10.1061/(asce)0893-1321(2005)18:3(188),Journal of Aerospace Engineering,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_101,Microwave,2021,Investigating the microwave heating behaviour of lunar soil simulant JSC-1A at different input powers,10.1038/s41598-021-81691-w,Scientific Reports,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_100,Microwave,2022,Hybrid microwave sintering of a lunar soil simulant: Effects of processing parameters on microstructure characteristics and mechanical properties,10.1016/j.matdes.2022.110878,Materials &amp; Design,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_144,Microwave,2024,Multi-step thermal design of microwave vacuum heating to basaltic regolith simulant towards lunar base construction,10.1038/s41598-024-79504-x,Scientific Reports,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_098,Microwave,2024,Preliminary study on localized microwave sintering of lunar regolith,10.1016/j.actaastro.2024.02.026,Acta Astronautica,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_099,Microwave,2024,Self-Sufficient Production of Lunar Regolith Gravels on the Moon by Ultrarapid Microwave Sintering,10.1021/acsomega.4c02702,ACS Omega,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_096,Microwave,2025,"Microwave sintering of HUST-2 lunar highland regolith simulant: Effects on microstructure evolution, mechanical and thermal properties",10.1016/j.conbuildmat.2025.140391,Construction and Building Materials,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_097,Microwave,2025,Preliminary feasibility analysis of microwave sintering of lunar regolith simulant at glass softening temperature,10.15199/33.2025.06.14,MATERIAŁY BUDOWLANE,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_094,Microwave,2026,Thermal Stress Evolution and Microstructural Development in Simulated Lunar Regolith During Microwave Sintering and Cooling,10.3390/coatings16020222,Coatings,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_005,Microwave,2026,Vacuum susceptor-assisted microwave sintering of lunar regolith simulant bricks: A potential pathway for extraterrestrial construction,10.1016/j.conbuildmat.2026.146289,Construction and Building Materials,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_130,SPS/ECAS,2020,Ceramic Material Processing Towards Future Space Habitat: Electric Current-Assisted Sintering of Lunar Regolith Simulant,10.3390/ma13184128,Materials,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_129,SPS/ECAS,2021,"Spark plasma sintering of a lunar regolith simulant: effects of parameters on microstructure evolution, phase transformation, and mechanical properties",10.1016/j.ceramint.2020.10.100,Ceramics International,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_128,SPS/ECAS,2022,Spark plasma sintering and optical characterization of lunar regolith simulant,10.1016/j.actaastro.2022.09.016,Acta Astronautica,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
