record_id,route_family,year,title,doi,container_title,metadata_status,quantitative_status
S1_123,SPS/ECAS,2024,Boosting the Mechanical and Thermal Properties of CUG-1A Lunar Regolith Simulant by Spark Plasma Sintering,10.3390/cryst14121022,Crystals,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_127,SPS/ECAS,2024,Spark plasma sintering of HUST-1 lunar regolith simulant and its thermal shock resistance properties,10.1016/j.asr.2023.11.027,Advances in Space Research,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_122,SPS/ECAS,2025,"Physical, mechanical, and microstructural characterization of NUW-LHT-5M lunar highland simulant through spark plasma sintering",10.1016/j.asr.2025.09.052,Advances in Space Research,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_118,SPS/ECAS,2026,"Impact of extreme thermal cycling on the physical and mechanical properties of lunar regolith simulant densified via spark plasma sintering, cold isostatic pressing, and biopolymer bonding using Xanthan Gum",10.1016/j.cscm.2026.e06142,Case Studies in Construction Materials,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_119,SPS/ECAS,2026,Mechanical and thermal properties of pressureless sintered lunar regolith simulant: Analysis of sintering parameters and pore structure,10.1016/j.ceramint.2025.12.293,Ceramics International,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_024,Solar sintering,2025,Earth-based unmanned solar sintering system for lunar bricks with regolith simulant,10.1016/j.autcon.2025.106486,Automation in Construction,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_164,Thermal,2017,Influence of Mineral Composition on Sintering Lunar Regolith,10.1061/(asce)as.1943-5525.0000721,Journal of Aerospace Engineering,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_145,Thermal,2019,Vacuum sintered lunar regolith simulant: Pore-forming and thermal conductivity,10.1016/j.ceramint.2018.11.023,Ceramics International,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_160,Thermal,2022,Lower Cost Lunar Bricks: Energetics of Melting and Sintering Lunar Regolith Simulants,10.1089/space.2021.0055,New Space,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_028,Thermal,2022,Sintering of HUST-1 lunar regolith simulant,10.1016/j.conbuildmat.2022.126655,Construction and Building Materials,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_025,Thermal,2024,"Iron-enhanced simulated lunar regolith sintered blocks: Preparation, sintering and mechanical properties",10.1016/j.conbuildmat.2024.137395,Construction and Building Materials,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_157,Thermal,2024,Optimizing lunar regolith for vat polymerization and sintering: pre-processing & mineral composition impact,10.1016/j.ceramint.2024.06.034,Ceramics International,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_158,Thermal,2024,Porosity and compressive strength of test samples produced by SLM using rock gabbro-diabase based powder as a lunar regolith simulant,10.1016/j.actaastro.2023.12.028,Acta Astronautica,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_026,Thermal,2024,Vacuum sintering of the self-developed Chang’E-5 lunar regolith simulant,10.1016/j.conbuildmat.2024.137343,Construction and Building Materials,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_142,Thermal,2025,"Investigating the microscopic, mechanical, and thermal properties of vacuum-sintered BH-1 lunar regolith simulant for lunar in-situ construction",10.1016/j.cscm.2024.e04132,Case Studies in Construction Materials,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
S1_081,Thermal,2025,Mechanical properties of Sintered Lunar Regolith Simulant LHS-1 when moulded under different temperatures and time at constant pressure,10.70156/1754-2383.1538,The Plymouth Student Scientist,VERIFIED_CROSSREF,candidate_only_unless_listed_in_benchmark_16
