pad_area_m2,thickness_m,bulk_density_kg_m3,processed_mass_kg,route,lc_erl,lc_erl_tag,route_role,delivered_energy_nominal_MJ_per_kg,loss_multiplier,dark_gap_days,route_complete_energy_MJ,route_complete_energy_kWh,storage_equivalent_power_kW,temporal_exposure_index_MJ_d,energy_ratio_vs_lowest_nominal,missing_promotion_evidence,within_1_kW_dark_gap_buffer_screen,within_5_kW_dark_gap_buffer_screen,within_10_kW_dark_gap_buffer_screen,screen_decision
15.0,0.02,1500,450.0,Cold sinter,3,3P,priority falsification target,2.016806722689076,1,4,907.5630252100842,252.1008403361345,2.6260504201680677,3630.252100840337,1.0,"batch mass, pressure tooling, consumables, route-complete loss",no,yes,yes,"low-burden diagnostic priority, still blocked by route-specific gates"
15.0,0.02,1500,450.0,Cold sinter,3,3P,priority falsification target,2.016806722689076,1,8,907.5630252100842,252.1008403361345,1.3130252100840338,7260.504201680674,1.0,"batch mass, pressure tooling, consumables, route-complete loss",no,yes,yes,"low-burden diagnostic priority, still blocked by route-specific gates"
15.0,0.02,1500,450.0,Cold sinter,3,3P,priority falsification target,2.016806722689076,1,14,907.5630252100842,252.1008403361345,0.7503001200480193,12705.882352941178,1.0,"batch mass, pressure tooling, consumables, route-complete loss",yes,yes,yes,"low-burden diagnostic priority, still blocked by route-specific gates"
15.0,0.02,1500,450.0,Cold sinter,3,3P,priority falsification target,2.016806722689076,3,4,2722.689075630253,756.3025210084036,7.878151260504203,10890.756302521011,1.0,"batch mass, pressure tooling, consumables, route-complete loss",no,no,yes,moderate power/storage burden; keep as measurement priority
15.0,0.02,1500,450.0,Cold sinter,3,3P,priority falsification target,2.016806722689076,3,8,2722.689075630253,756.3025210084036,3.9390756302521015,21781.512605042022,1.0,"batch mass, pressure tooling, consumables, route-complete loss",no,yes,yes,"low-burden diagnostic priority, still blocked by route-specific gates"
15.0,0.02,1500,450.0,Cold sinter,3,3P,priority falsification target,2.016806722689076,3,14,2722.689075630253,756.3025210084036,2.250900360144058,38117.64705882354,1.0,"batch mass, pressure tooling, consumables, route-complete loss",no,yes,yes,"low-burden diagnostic priority, still blocked by route-specific gates"
15.0,0.02,1500,450.0,Cold sinter,3,3P,priority falsification target,2.016806722689076,6,4,5445.378151260506,1512.6050420168071,15.756302521008406,21781.512605042022,1.0,"batch mass, pressure tooling, consumables, route-complete loss",no,no,no,power/storage-sensitive; needs temporal and loss closure before promotion
15.0,0.02,1500,450.0,Cold sinter,3,3P,priority falsification target,2.016806722689076,6,8,5445.378151260506,1512.6050420168071,7.878151260504203,43563.025210084044,1.0,"batch mass, pressure tooling, consumables, route-complete loss",no,no,yes,moderate power/storage burden; keep as measurement priority
15.0,0.02,1500,450.0,Cold sinter,3,3P,priority falsification target,2.016806722689076,6,14,5445.378151260506,1512.6050420168071,4.501800720288116,76235.29411764708,1.0,"batch mass, pressure tooling, consumables, route-complete loss",no,yes,yes,"low-burden diagnostic priority, still blocked by route-specific gates"
15.0,0.02,1500,450.0,CSS,3,3P,priority falsification target,4.329004329004329,1,4,1948.051948051948,541.1255411255411,5.636724386724387,7792.207792207792,2.146464646464646,"temporal storage closure, optical/dust loss stack, site-specific power delivery",no,no,yes,moderate power/storage burden; keep as measurement priority
15.0,0.02,1500,450.0,CSS,3,3P,priority falsification target,4.329004329004329,1,8,1948.051948051948,541.1255411255411,2.8183621933621934,15584.415584415585,2.146464646464646,"temporal storage closure, optical/dust loss stack, site-specific power delivery",no,yes,yes,"low-burden diagnostic priority, still blocked by route-specific gates"
15.0,0.02,1500,450.0,CSS,3,3P,priority falsification target,4.329004329004329,1,14,1948.051948051948,541.1255411255411,1.6104926819212533,27272.727272727272,2.146464646464646,"temporal storage closure, optical/dust loss stack, site-specific power delivery",no,yes,yes,"low-burden diagnostic priority, still blocked by route-specific gates"
15.0,0.02,1500,450.0,CSS,3,3P,priority falsification target,4.329004329004329,3,4,5844.1558441558445,1623.3766233766235,16.91017316017316,23376.623376623378,2.146464646464646,"temporal storage closure, optical/dust loss stack, site-specific power delivery",no,no,no,power/storage-sensitive; needs temporal and loss closure before promotion
15.0,0.02,1500,450.0,CSS,3,3P,priority falsification target,4.329004329004329,3,8,5844.1558441558445,1623.3766233766235,8.45508658008658,46753.246753246756,2.146464646464646,"temporal storage closure, optical/dust loss stack, site-specific power delivery",no,no,yes,moderate power/storage burden; keep as measurement priority
15.0,0.02,1500,450.0,CSS,3,3P,priority falsification target,4.329004329004329,3,14,5844.1558441558445,1623.3766233766235,4.83147804576376,81818.18181818182,2.146464646464646,"temporal storage closure, optical/dust loss stack, site-specific power delivery",no,yes,yes,"low-burden diagnostic priority, still blocked by route-specific gates"
15.0,0.02,1500,450.0,CSS,3,3P,priority falsification target,4.329004329004329,6,4,11688.311688311689,3246.753246753247,33.82034632034632,46753.246753246756,2.146464646464646,"temporal storage closure, optical/dust loss stack, site-specific power delivery",no,no,no,power/storage-sensitive; needs temporal and loss closure before promotion
15.0,0.02,1500,450.0,CSS,3,3P,priority falsification target,4.329004329004329,6,8,11688.311688311689,3246.753246753247,16.91017316017316,93506.49350649351,2.146464646464646,"temporal storage closure, optical/dust loss stack, site-specific power delivery",no,no,no,power/storage-sensitive; needs temporal and loss closure before promotion
15.0,0.02,1500,450.0,CSS,3,3P,priority falsification target,4.329004329004329,6,14,11688.311688311689,3246.753246753247,9.66295609152752,163636.36363636365,2.146464646464646,"temporal storage closure, optical/dust loss stack, site-specific power delivery",no,no,yes,moderate power/storage burden; keep as measurement priority
15.0,0.02,1500,450.0,Geopolymer,3,3P,priority falsification target,4.563279857397505,1,4,2053.475935828877,570.409982174688,5.941770647653001,8213.903743315508,2.262626262626262,"water/alkali recovery, curing cycle, consumable logistics",no,no,yes,moderate power/storage burden; keep as measurement priority
15.0,0.02,1500,450.0,Geopolymer,3,3P,priority falsification target,4.563279857397505,1,8,2053.475935828877,570.409982174688,2.9708853238265003,16427.807486631016,2.262626262626262,"water/alkali recovery, curing cycle, consumable logistics",no,yes,yes,"low-burden diagnostic priority, still blocked by route-specific gates"
